1.591,-0.96906,3
2.1725,1.5087,3
0.44263,-0.57719,3
3.1956,-0.46669,3
-0.37756,0.30081,3
2.2862,0.29857,2
5.0841,0.060215,3
1.2084,-1.3944,3
0.6505,1.1972,2
3.7107,5.0781,3
0.76146,2.1173,3
-2.7108,-1.5025,3
1.9946,-0.32892,3
3.8555,3.4753,2
0.79894,2.9926,3
1.4067,4.4174,3
5.601,3.711,3
0.91398,4.0271,3
4.9807,-1.1337,3
-1.5322,-3.9432,1
-2.5823,1.7146,3
4.1246,-4.8668,3
1.8716,-0.24973,3
-0.34223,-1.1934,3
1.5722,3.821,3
5.236,-1.5507,3
-5.1984,-2.6681,2
-0.49072,-3.6206,1
1.5066,-1.0426,3
3.2095,1.3155,3
0.28765,-2.2538,3
0.12831,4.2612,3
-0.66798,3.9525,2
1.1133,-1.7449,3
4.1869,2.3507,3
3.1486,2.8923,3
-1.485,-0.21973,3
-0.4119,0.65829,1
0.058624,5.8837,3
5.1633,3.0215,3
-2.9138,0.29431,3
-3.5294,3.5559,3
-1.2943,-0.47281,3
1.1773,-0.89546,3
-3.4318,-3.6142,3
-2.6746,-1.7515,3
3.712,-1.7958,3
1.5112,1.3621,3
3.8491,1.3514,3
0.95672,2.0888,3
-1.5403,-0.1624,3
-2.4463,1.7207,3
4.4734,3.4414,3
-0.95695,-4.1158,2
0.16334,-2.1579,3
2.832,0.19622,2
-1.6351,5.7108,3
4.7852,1.5775,3
0.65186,-0.12898,3
-1.0923,0.19304,1
0.851,1.3857,3
0.46694,3.3274,2
-0.28591,1.4601,3
-1.3504,1.7229,3
-2.8113,2.7774,3
-0.35639,0.098892,3
-1.5493,2.0778,3
0.89387,1.8643,3
0.087961,1.4027,2
-1.6158,-1.2056,2
-0.65025,2.9333,3
0.51675,3.1325,3
0.1947,-1.4407,1
0.088693,3.8362,3
-0.21669,1.019,3
-0.79834,-1.7391,3
-1.2793,-1.6217,3
4.5512,1.453,3
2.551,1.815,3
-1.7527,2.0686,3
-2.2907,0.098942,3
-0.028226,0.17085,3
0.37448,-3.5252,3
-3.2791,-0.30977,1
2.4591,0.51446,3
0.3047,-0.70498,3
0.23109,-0.16952,3
-2.2144,-0.83317,3
-0.69522,0.78987,3
0.4007,5.8423,3
0.8225,2.7398,3
-0.36431,0.25761,3
2.4356,0.45333,2
0.52713,0.90689,3
-2.0471,3.1638,1
6.2749,1.3764,3
